date,births
1982-09-01,9638
1982-09-02,10464
1982-09-03,10613
1982-09-04,10336
1982-09-05,10175
1982-09-06,9573
1982-09-07,8520
1982-09-08,4322
1982-09-09,5109
1982-09-10,10334
1982-09-11,10627
1982-09-12,10298
1982-09-13,10410
1982-09-14,9609
1982-09-15,8579
1982-09-16,9391
1982-09-17,10394
1982-09-18,10324
1982-09-19,10384
1982-09-20,10316
1982-09-21,9730
1982-09-22,8518
1982-09-23,9181
1982-09-24,10324
1982-09-25,10720
1982-09-26,10500
1982-09-27,10236
1982-09-28,9603
1982-09-29,8487
1982-09-30,9196
1982-10-01,10037
1982-10-02,10398
1982-10-03,10243
1982-10-04,10244
1982-10-05,9491
1982-10-06,8397
1982-10-07,9117
1982-10-08,10383
1982-10-09,10320
1982-10-10,5318
1982-10-11,4988
1982-10-12,10262
1982-10-13,9872
1982-10-14,8618
1982-10-15,9187
1982-10-16,10357
1982-10-17,10314
1982-10-18,10057
1982-10-19,10200
1982-10-20,9265
1982-10-21,8159
1982-10-22,8876
1982-10-23,10184
1982-10-24,10351
1982-10-25,10250
1982-10-26,10202
1982-10-27,9611
1982-10-28,8537
1982-10-29,9090
1982-10-30,10394
1982-10-31,10467
1982-11-01,9924
1982-11-02,10006
1982-11-03,9217
1982-11-04,8226
1982-11-05,9018
1982-11-06,10477
1982-11-07,10166
1982-11-08,10012
1982-11-09,10213
1982-11-10,5333
1982-11-11,4264
1982-11-12,8541
1982-11-13,9398
1982-11-14,10557
1982-11-15,10558
1982-11-16,10292
1982-11-17,10421
1982-11-18,9801
1982-11-19,8572
1982-11-20,9576
1982-11-21,10578
1982-11-22,10686
1982-11-23,10288
1982-11-24,10286
1982-11-25,9722
1982-11-26,8617
1982-11-27,9447
1982-11-28,10724
1982-11-29,10620
1982-11-30,10448
1982-12-01,10507
1982-12-02,9503
1982-12-03,8667
1982-12-04,9399
1982-12-05,10653
1982-12-06,10936
1982-12-07,10797
1982-12-08,10604
1982-12-09,9869
1982-12-10,8851
1982-12-11,8804
1982-12-12,9766
1982-12-13,10527
1982-12-14,10756
1982-12-15,10704
1982-12-16,9649
1982-12-17,8891
1982-12-18,9605
1982-12-19,10453
1982-12-20,10529
1982-12-21,10404
1982-12-22,10731
1982-12-23,9790
1982-12-24,8994
1982-12-25,9348
1982-12-26,10799
1982-12-27,11003
1982-12-28,10812
1982-12-29,10754
1982-12-30,9986
1982-12-31,8918
1983-01-01,9556
1983-01-02,11010
1983-01-03,10888
1983-01-04,10980
1983-01-05,10925
1983-01-06,10084
1983-01-07,9017
1983-01-08,10038
1983-01-09,11075
1983-01-10,11245
1983-01-11,5659
1983-01-12,10924
1983-01-13,10893
1983-01-14,9293
1983-01-15,9036
1983-01-16,8978
1983-01-17,11171
1983-01-18,11742
1983-01-19,11654
1983-01-20,11312
1983-01-21,9591
1983-01-22,9165
1983-01-23,10996
1983-01-24,11136
1983-01-25,11095
1983-01-26,11218
1983-01-27,11339
1983-01-28,9616
1983-01-29,9374
1983-01-30,11039
1983-01-31,11551
1983-02-01,11242
1983-02-02,11004
1983-02-03,11347
1983-02-04,9608
1983-02-05,9096
1983-02-06,11041
1983-02-07,11474
1983-02-08,11235
1983-02-09,11073
1983-02-10,11116
1983-02-11,9589
1983-02-13,9193
1983-02-14,10956
1983-02-15,11515
1983-02-16,11253
1983-02-17,11196
1983-02-18,11014
1983-02-19,9349
1983-02-20,9198
1983-02-21,10903
1983-02-22,11383
1983-02-23,11104
1983-02-24,11195
1983-02-25,10678
1983-02-26,9444
1983-02-27,9215
1983-02-28,11201
1983-03-01,11489
1983-03-02,11266
1983-03-03,11154
1983-03-04,11385
1983-03-05,9602
1983-03-06,9098
1983-03-07,10944
1983-03-08,11577
1983-03-09,11153
1983-03-10,11026
1983-03-11,11266
1983-03-12,9484
1983-03-13,8900
1983-03-14,10963
1983-03-15,11505
1983-03-17,11118
1983-03-18,11081
1983-03-19,11475
1983-03-20,9579
1983-03-21,9158
1983-03-22,9262
1983-03-23,11342
1983-03-24,11455
1983-03-25,11395
1983-03-26,11917
1983-03-27,9695
1983-03-28,9660
1983-03-29,11343
1983-03-30,11725
1983-03-31,11359
1983-04-01,11578
1983-04-02,11736
1983-04-03,9577
1983-04-04,9552
1983-04-05,11596
1983-04-06,11791
1983-04-07,11530
1983-04-08,11551
1983-04-09,11480
1983-04-10,9792
1983-04-11,9425
1983-04-12,11538
1983-04-13,11674
1983-04-14,11402
1983-04-15,11269
1983-04-16,5567
1983-04-17,10456
1983-04-18,9358
1983-04-19,10112
1983-04-20,11221
1983-04-21,11138
1983-04-22,11057
1983-04-23,11027
1983-04-24,10229
1983-04-25,8976
1983-04-26,9583
1983-04-27,10585
1983-04-28,10735
1983-04-29,10557
1983-04-30,10523
1983-05-01,9830
1983-05-02,8720
1983-05-03,9449
1983-05-04,10650
1983-05-05,10667
1983-05-06,10513
1983-05-07,10440
1983-05-08,9633
1983-05-09,8867
1983-05-10,9527
1983-05-11,10568
1983-05-12,10477
1983-05-13,10483
1983-05-14,10431
1983-05-15,9616
1983-05-16,8902
1983-05-17,4463
1983-05-18,5085
1983-05-19,10479
1983-05-20,10452
1983-05-21,10335
1983-05-22,10421
1983-05-23,9651
1983-05-24,8729
1983-05-25,9610
1983-05-26,10467
1983-05-27,10678
1983-05-28,10516
1983-05-29,10545
1983-05-30,9613
1983-05-31,8517
1983-06-01,9058
1983-06-02,10446
1983-06-03,10503
1983-06-04,10364
1983-06-05,10471
1983-06-06,9822
1983-06-07,8643
1983-06-08,9511
1983-06-09,10486
1983-06-10,10573
1983-06-11,9280
1983-06-12,8607
1983-06-13,8961
1983-06-14,8533
1983-06-15,9436
1983-06-16,10916
1983-06-17,5613
1983-06-18,5136
1983-06-19,10234
1983-06-20,10125
1983-06-21,9276
1983-06-22,8700
1983-06-23,9138
1983-06-24,10063
1983-06-25,10191
1983-06-26,10042
1983-06-27,9957
1983-06-28,9247
1983-06-29,8517
1983-06-30,9153
1983-07-01,10337
1983-07-02,10532
1983-07-03,10524
1983-07-04,10549
1983-07-05,9741
1983-07-06,8395
1983-07-07,9507
1983-07-08,10601
1983-07-09,10238
1983-07-10,9730
1983-07-11,8774
1983-07-12,7975
1983-07-13,7977
1983-07-14,8907
1983-07-15,10443
1983-07-16,10741
1983-07-17,10959
1983-07-18,9990
1983-07-19,4800
1983-07-20,8174
1983-07-21,8085
1983-07-22,9523
1983-07-23,10094
1983-07-24,9966
1983-07-25,9990
1983-07-26,9947
1983-07-27,8525
1983-07-28,8287
1983-07-29,9930
1983-07-30,10337
1983-07-31,10273
1983-08-01,10190
1983-08-02,10244
1983-08-03,8784
1983-08-04,8382
1983-08-05,10131
1983-08-06,10482
1983-08-07,9950
1983-08-08,10154
1983-08-09,10306
1983-08-10,8798
1983-08-11,8600
1983-08-12,10091
1983-08-13,10368
1983-08-14,10272
1983-08-15,10302
1983-08-16,10210
1983-08-17,8757
1983-08-18,8711
1983-08-19,10148
1983-08-21,10579
1983-08-22,10160
1983-08-23,10396
1983-08-24,10196
1983-08-25,8479
1983-08-26,8495
1983-08-27,10232
1983-08-28,10603
1983-08-29,10127
1983-08-30,10261
1983-08-31,10501
1983-09-01,8829
1983-09-02,8558
1983-09-03,10598
1983-09-04,10572
1983-09-05,10519
1983-09-06,10509
1983-09-07,10427
1983-09-08,8846
1983-09-09,8522
1983-09-10,10020
1983-09-11,10471
1983-09-12,10676
1983-09-13,10610
1983-09-14,10498
1983-09-15,8869
1983-09-16,8460
1983-09-17,10254
1983-09-19,10669
1983-09-20,10674
1983-09-21,10562
1983-09-22,10645
1983-09-23,9035
1983-09-24,8570
1983-09-25,10353
1983-09-26,10702
1983-09-27,10322
1983-09-28,10348
1983-09-29,10351
1983-09-30,8754
1983-10-01,8432
1983-10-02,10434
1983-10-03,10839
1983-10-04,10251
1983-10-05,10524
1983-10-06,10827
1983-10-07,8776
1983-10-08,8524
1983-10-09,10433
1983-10-10,10692
1983-10-11,10230
1983-10-12,10215
1983-10-13,10512
1983-10-14,8736
1983-10-15,8475
1983-10-16,10251
1983-10-17,10811
1983-10-18,10649
1983-10-19,10613
1983-10-21,9982
1983-10-22,8772
1983-10-23,8354
1983-10-24,10207
1983-10-25,10759
1983-10-26,10448
1983-10-27,10659
1983-10-28,10558
1983-10-29,8785
1983-10-30,8485
1983-10-31,10298
1983-11-01,10574
1983-11-02,10112
1983-11-03,10196
1983-11-04,10339
1983-11-05,8623
1983-11-06,8364
1983-11-07,10217
1983-11-08,10409
1983-11-09,10371
